mot,feminin,pluriel,feminin_pluriel,,
BAC,BACS,,,,
HA,,,,,
HAINE,HAINES,,,,
HAÏR,,,,,
HASARD,HASARDS,,,,
HAUT,HAUTE,HAUTS,HAUTES,,
HAUTEMENT,,,,,
HAUTEUR,HAUTEURS,,,,
HÉ,,,,,
HEIN,,,,,
HÉLAS,,,,,
HEP,,,,,
HEU,,,,,
HEURTER,,,,,
HIER,,,,,
HO,,,,,
HOLÀ,,,,,
HONGRIE,,,,,
HONTE,HONTES,,,,
HOP,,,,,
HORMIS,,,,,
HORS,,,,,
HUIT,,,,,
ABAISSER,,,,,
ABANDONNER,,,,,
ABATS,,,,,
ABATTRE,,,,,
ABORD,ABORDS,,,,
ABORDER,,,,,
ABRÉVIATION,ABRÉVIATIONS,,,,
ABRI,ABRIS,,,,
ABSCISSE,ABSCISSES,,,,
ABSENCE,ABSENCES,,,,
ABSENT,ABSENTE,ABSENTS,ABSENTES,,
ABSOLU,ABSOLUE,ABSOLUS,ABSOLUES,,
ABSOLUMENT,,,,,
ABSORBER,,,,,
ABSTRAIT,ABSTRAITE,ABSTRAITS,ABSTRAITES,,
ACADÉMIE,ACADÉMIES,,,,
ACCÉLÉRATION,ACCÉLÉRATIONS,,,,
ACCENT,ACCENTS,,,,
ACCENTUER,,,,,
ACCEPTER,,,,,
ACCÈS,ACCÈS,,,,
ACCESSIBLE,ACCESSIBLE,ACCESSIBLES,ACCESSIBLES,,
ACCIDENT,ACCIDENTS,,,,
ACCIDENTEL,ACCIDENTELLE,ACCIDENTELS,ACCIDENTELLES,,
ACCOMPAGNER,,,,,
ACCOMPLIR,,,,,
ACCORD,ACCORDS,,,,
ACCORDER,,,,,
ACCOUCHER,,,,,
ACCOUPLER,,,,,
ACCROCHER,,,,,
ACCUEILLIR,,,,,
ACCUMULATEUR,ACCUMULATEURS,,,,
ACCUMULER,,,,,
ACCUSER,,,,,
ACHAT,ACHATS,,,,
ACHETER,,,,,
ACHETEUR,ACHETEUSE,ACHETEURS,ACHETEUSES,,
ACHEVER,,,,,
ACIDE,ACIDES,,,,
ACIER,ACIERS,,,,
ACOUSTICIEN,ACOUSTICIENNE,ACOUSTICIENS,ACOUSTICIENNES,,
ACOUSTIQUE,ACOUSTIQUE,ACOUSTIQUES,ACOUSTIQUES,,
ACTE,ACTES,,,,
ACTE,ACTES,,,,
ACTE,ACTES,,,,
ACTEUR,ACTRICE,ACTEURS,ACTRICES,,
ACTIF,ACTIVE,ACTIFS,ACTIVES,,
ACTION,ACTIONS,,,,
ACTION,ACTIONS,,,,
ACTIVEMENT,,,,,
ACTIVITÉ,ACTIVITÉS,,,,
ACTUEL,ACTUELLE,ACTUELS,ACTUELLES,,
ACTUELLEMENT,,,,,
ADAPTATION,ADAPTATIONS,,,,
ADDITION,ADDITIONS,,,,
ADDITIONNER,,,,,
ADEPTE,ADEPTE,ADEPTES,ADEPTES,,
ADÉQUAT,ADÉQUATE,ADÉQUATS,ADÉQUATES,,
ADÉQUATEMENT,,,,,
ADHÉRENT,ADHÉRENTE,ADHÉRENTS,ADHÉRENTES,,
ADHÉRER,,,,,
ADIEU,ADIEUX,,,,
ADJACENT,ADJACENTE,ADJACENTS,ADJACENTES,,
ADJECTIF,ADJECTIVE,ADJECTIFS,"JECTIVE, ADJECTIFS ADJECTIVES",,
ADMETTRE,,,,,
ADMINISTRATIF,ADMINISTRATIVE,ADMINISTRATIFS,ADMINISTRATIVES,,
ADMINISTRATION,ADMINISTRATIONS,,,,
ADMINISTRATIVEMENT,,,,,
ADMIRATIF,ADMIRATIVE,ADMIRATIFS,ADMIRATIVES,,
ADMIRATION,ADMIRATIONS,,,,
ADMIRATIVEMENT,,,,,
ADMIRER,,,,,
ADOLESCENCE,ADOLESCENCES,,,,
ADOLESCENT,ADOLESCENTS,ADOLESCENTS,ADOLESCENTES,,
ADOPTER,,,,,
ADORATION,ADORATIONS,,,,
ADORER,,,,,
ADRESSE,ADRESSES,,,,
ADRESSE,ADRESSES,,,,
ADRESSER,,,,,
